Load (bolts),Pressure (psi),dL (ticks),dphi (ticks),Load (lbs in),Pressure (psi),dL (in),dphi (rad),Load (Nm),Pressure (psi),dL/L_rest (%),dphi/L_rest (rad/in)
1,0,,-369,0.117933525,0,0,-1.854796303,0.01332469919,0,0,-0.5455283243
1,3,,-298,0.117933525,3,0,-1.497911377,0.01332469919,3,0,-0.4405621698
1,4.2,,-233,0.117933525,4.2,0,-1.171185741,0.01332469919,4.2,0,-0.3444663945
1,5,,-155,0.117933525,5,0,-0.7791149781,0.01332469919,5,0,-0.2291514641
1,6,,-83,0.117933525,6,0,-0.4172035044,0.01332469919,6,0,-0.1227069131
1,7.8,,49,0.117933525,7.8,0,0.06157521601,0.01332469919,7.8,0,0.01811035765
1,8.8,,151,0.117933525,8.8,0,0.1897521963,0.01332469919,8.8,0,0.05580946949
1,10,,316,0.117933525,10,0,0.3970973114,0.01332469919,10,0,0.1167933269
1,1,,441,0.117933525,1,0,0.5541769441,0.01332469919,1,0,0.1629932189
1,12.5,,643,0.117933525,12.5,0,0.8080176305,0.01332469919,12.5,0,0.2376522443
1,13.5,,802,0.117933525,13.5,0,1.007822923,0.01332469919,13.5,0,0.2964185068
1,11.5,,688,0.117933525,11.5,0,0.8645662983,0.01332469919,11.5,0,0.2542842054
1,12.5,,720,0.117933525,12.5,0,0.9047786842,0.01332469919,12.5,0,0.2661113777
1,10.3,,493,0.117933525,10.3,0,0.6195220713,0.01332469919,10.3,0,0.1822123739
1,11.5,,589,0.117933525,11.5,0,0.7401592292,0.01332469919,11.5,0,0.2176938909
1,9,,358,0.117933525,9,0,0.449876068,0.01332469919,9,0,0.1323164906
1,10,,418,0.117933525,10,0,0.5252742917,0.01332469919,10,0,0.1544924387
1,7.6,,279,0.117933525,7.6,0,0.3506017401,0.01332469919,7.6,0,0.1031181589
1,9,,288,0.117933525,9,0,0.3619114737,0.01332469919,9,0,0.1064445511
1,6.2,,109,0.117933525,6.2,0,0.1369734397,0.01332469919,6.2,0,0.04028630579
1,8,,161,0.117933525,8,0,0.2023185669,0.01332469919,8,0,0.05950546085
1,5.2,,-21,0.117933525,5.2,0,-0.02638937829,0.01332469919,5.2,0,-0.00776158185
1,6.3,,-9,0.117933525,6.3,,-0.01130973355,0.01332469919,6.3,,-0.003326392221
1,4,,-132,0.117933525,4,,-0.1658760921,0.01332469919,4,,-0.04878708591
1,5.6,,-106,0.117933525,5.6,,-0.1332035285,0.01332469919,5.6,,-0.03917750839
1,3.2,,-231,0.117933525,3.2,,-0.2902831612,0.01332469919,3.2,,-0.08537740035
1,0,,-414,0.117933525,0,,-0.5202477434,0.01332469919,0,,-0.1530140422
2,4,,-408,0.23586705,4,,-0.5127079211,0.02664939839,4,,-0.1507964474
2,5,,-393,0.23586705,5,,-0.4938583651,0.02664939839,5,,-0.1452524603
2,6.5,,-379,0.23586705,6.5,,-0.4762654463,0.02664939839,6.5,,-0.1400780724
2,8,,-364,0.23586705,8,,-0.4574158904,0.02664939839,8,,-0.1345340854
2,8.8,,-338,0.23586705,8.8,,-0.4247433268,0.02664939839,8.8,,-0.1249245079
2,10,,-239,0.23586705,10,,-0.3003362577,0.02664939839,10,,-0.08833419344
2,11,,-131,0.23586705,11,,-0.164619455,0.02664939839,11,,-0.04841748678
2,12.2,,12,0.23586705,12.2,,0.01507964474,0.02664939839,12.2,,0.004435189629
2,13.6,,174,0.23586705,13.6,,0.2186548487,0.02664939839,13.6,,0.06431024961
2,11,,172,0.23586705,11,,0.2161415746,0.02664939839,11,,0.06357105134
2,12.3,,173,0.23586705,12.3,,0.2173982116,0.02664939839,12.3,,0.06394065048
2,10,,60,0.23586705,10,,0.07539822369,0.02664939839,10,,0.02217594814
2,11,,60,0.23586705,11,,0.07539822369,0.02664939839,11,,0.02217594814
2,9,,-47,0.23586705,9,,-0.05906194189,0.02664939839,9,,-0.01737115938
2,10,,-46,0.23586705,10,,-0.05780530483,0.02664939839,10,,-0.01700156024
2,7.5,,-140,0.23586705,7.5,,-0.1759291886,0.02664939839,7.5,,-0.051743879
2,8.5,,-140,0.23586705,8.5,,-0.1759291886,0.02664939839,8.5,,-0.051743879
2,6.6,,-280,0.23586705,6.6,,-0.3518583772,0.02664939839,6.6,,-0.103487758
2,7.8,,-280,0.23586705,7.8,,-0.3518583772,0.02664939839,7.8,,-0.103487758
2,5.6,,-421,0.23586705,5.6,,-0.5290442029,0.02664939839,5.6,,-0.1556012361
2,6.6,,-420,0.23586705,6.6,,-0.5277875658,0.02664939839,6.6,,-0.155231637
2,4.4,,-532,0.23586705,4.4,,-0.6685309167,0.02664939839,4.4,,-0.1966267402
