Load (bolts),Load (nuts),Extension (ticks),,Load (lbs),Extension (in),Strain
0,0,0,,0,0,0
0,1,3,,0.0344450238,0.012,0.003
0,2,9,,0.0688900476,0.036,0.009
0,3,8,,0.1033350714,0.032,0.008
0,4,9,,0.1377800952,0.036,0.009
0,5,23,,0.172225119,0.092,0.023
1,1,18,,0.1392748338,0.072,0.018
1,2,19,,0.1737198576,0.076,0.019
1,3,28,,0.2081648814,0.112,0.028
1,4,30,,0.2426099052,0.12,0.03
1,5,32,,0.277054929,0.128,0.032
2,1,27,,0.2441046438,0.108,0.027
2,2,31,,0.2785496676,0.124,0.031
2,3,40,,0.3129946914,0.16,0.04
2,4,45,,0.3474397152,0.18,0.045
2,5,56,,0.381884739,0.224,0.056
3,1,44,,0.3489344538,0.176,0.044
3,2,57,,0.3833794776,0.228,0.057
3,3,58,,0.4178245014,0.232,0.058
3,4,64,,0.4522695252,0.256,0.064
3,5,68,,0.486714549,0.272,0.068
4,1,72,,0.4537642638,0.288,0.072
4,2,37,,0.4882092876,0.148,0.037
4,2,42,,0.4882092876,0.168,0.042
4,3,43,,0.5226543114,0.172,0.043
4,4,44,,0.5570993352,0.176,0.044
2,1,0,,0.2441046438,0,0
0,0,0,,0,0,0
0,1,0,,0.0344450238,0,0
0,2,0,,0.0688900476,0,0
2,2,17,,0.2785496676,0.068,0.017
4,2,44,,0.4882092876,0.176,0.044
4,4,56,,0.5570993352,0.224,0.056
5,4,73,,0.6619291452,0.292,0.073
5,5,83,,0.696374169,0.332,0.083
4,3,64,,0.5226543114,0.256,0.064
2,3,29,,0.3129946914,0.116,0.029
1,2,16,,0.1737198576,0.064,0.016
0,1,9,,0.0344450238,0.036,0.009
1,3,22,,0.2081648814,0.088,0.022
2,3,31,,0.3129946914,0.124,0.031
2,5,40,,0.381884739,0.16,0.04
2,3,30,,0.3129946914,0.12,0.03
4,3,58,,0.5226543114,0.232,0.058
5,2,69,,0.5930390976,0.276,0.069
2,1,9,,0.2441046438,0.036,0.009
0,0,0,,0,0,0
3,0,19,,0.31448943,0.076,0.019
3,3,36,,0.4178245014,0.144,0.036
2,1,12,,0.2441046438,0.048,0.012
5,2,60,,0.5930390976,0.24,0.06
5,5,80,,0.696374169,0.32,0.08
0,0,0,,0,0,0
1,0,5,,0.10482981,0.02,0.005
2,0,16,,0.20965962,0.064,0.016
3,0,38,,0.31448943,0.152,0.038
4,0,52,,0.41931924,0.208,0.052
5,0,60,,0.52414905,0.24,0.06
4,0,33,,0.41931924,0.132,0.033
3,0,20,,0.31448943,0.08,0.02
2,0,0,,0.20965962,0,0
1,0,0,,0.10482981,0,0
0,0,0,,0,0,0
