Load (bolts),Pressure (psi),dL (ticks),dphi (ticks),Load (lbs in),Pressure (psi),dL (in),dphi (rad),Load (Nm),Pressure (psi),dL/L_rest (%),dphi/L_rest (rad/in)
1,3.7,,-15,0.117933525,3.7,0,-0.01884955592,0.01332469919,3.7,0,-0.005543987036
1,5.5,,198,0.117933525,5.5,0,0.2488141382,0.01332469919,5.5,0,0.07318062887
1,6.8,,362,0.117933525,6.8,0,0.4549026162,0.01332469919,6.8,0,0.1337948871
1,8,,550,0.117933525,8,0,0.6911503838,0.01332469919,8,0,0.2032795246
1,8.9,,687,0.117933525,8.9,0,0.8633096612,0.01332469919,8.9,0,0.2539146062
1,10.5,,972,0.117933525,10.5,0,1.221451224,0.01332469919,10.5,0,0.3592503599
1,11.2,,1132,0.117933525,11.2,0,1.422513154,0.01332469919,11.2,0,0.4183862216
1,12.4,,1386,0.117933525,12.4,0,1.741698967,0.01332469919,12.4,0,0.5122644021
1,13.5,,1650,0.117933525,13.5,0,2.073451151,0.01332469919,13.5,0,0.6098385739
1,11,,1198,0.117933525,11,0,1.5054512,0.01332469919,11,0,0.4427797646
1,11.5,,1462,0.117933525,11.5,0,1.837203384,0.01332469919,11.5,0,0.5403539364
1,10,,1035,0.117933525,10,0,1.300619359,0.01332469919,10,0,0.3825351055
1,11,,1209,0.117933525,11,0,1.519274207,0.01332469919,11,0,0.4468453551
1,8.8,,792,0.117933525,8.8,0,0.9952565527,0.01332469919,8.8,0,0.2927225155
1,10.1,,1003,0.117933525,10.1,0,1.260406973,0.01332469919,10.1,0,0.3707079331
1,8.2,,694,0.117933525,8.2,0,0.8721061206,0.01332469919,8.2,0,0.2565018002
1,9,,771,0.117933525,9,0,0.9688671744,0.01332469919,9,0,0.2849609336
1,6.5,,411,0.117933525,6.5,0,0.5164778323,0.01332469919,6.5,0,0.1519052448
1,7.9,,573,0.117933525,7.9,0,0.7200530362,0.01332469919,7.9,0,0.2117803048
1,5.1,,230,0.117933525,5.1,0,0.2890265241,0.01332469919,5.1,0,0.08500780121
1,6.6,,383,0.117933525,6.6,0,0.4812919945,0.01332469919,6.6,0,0.141556469
1,4.2,,57,0.117933525,4.2,0,0.0716283125,0.01332469919,4.2,0,0.02106715074
2,5,,-277,0.23586705,5,,-0.348088466,0.02664939839,5,,-0.1023789606
2,6.5,,-120,0.23586705,6.5,,-0.1507964474,0.02664939839,6.5,,-0.04435189629
2,8,,44,0.23586705,8,,0.0552920307,0.02664939839,8,,0.01626236197
2,8.6,,164,0.23586705,8.6,,0.2060884781,0.02664939839,8.6,,0.06061425826
2,10,,409,0.23586705,10,,0.5139645581,0.02664939839,10,,0.1511660465
2,11,,612,0.23586705,11,,0.7690618816,0.02664939839,11,,0.2261946711
2,12.8,,958,0.23586705,12.8,,1.203858305,0.02664939839,12.8,,0.354075972
2,13.8,,1189,0.23586705,13.8,,1.494141466,0.02664939839,13.8,,0.4394533724
2,11,,734,0.23586705,11,,0.9223716031,0.02664939839,11,,0.2712857656
2,12.4,,943,0.23586705,12.4,,1.185008749,0.02664939839,12.4,,0.348531985
2,10.3,,572,0.23586705,10.3,,0.7187963991,0.02664939839,10.3,,0.2114107056
2,11.1,,706,0.23586705,11.1,,0.8871857654,0.02664939839,11.1,,0.2609369898
2,8.8,,274,0.23586705,8.8,,0.3443185548,0.02664939839,8.8,,0.1012701632
2,10,,464,0.23586705,10,,0.5830795965,0.02664939839,10,,0.171493999
2,7.9,,116,0.23586705,7.9,,0.1457698991,0.02664939839,7.9,,0.04287349974
2,8.8,,233,0.23586705,8.8,,0.2927964353,0.02664939839,8.8,,0.08611659862
2,6.4,,-102,0.23586705,6.4,,-0.1281769803,0.02664939839,6.4,,-0.03769911184
2,8,,48,0.23586705,8,,0.06031857895,0.02664939839,8,,0.01774075851
2,5.6,,-238,0.23586705,5.6,,-0.2990796206,0.02664939839,5.6,,-0.0879645943
2,6.5,,-135,0.23586705,6.5,,-0.1696460033,0.02664939839,6.5,,-0.04989588332
2,4.4,,-426,0.23586705,4.4,,-0.5353273882,0.02664939839,4.4,,-0.1574492318
,,,,0,,,0,0,,,0
,,,,0,,,0,0,,,0
,,,,0,,,0,0,,,0
,,,,0,,,0,0,,,0
