Load (bolts),Pressure (psi),dL (ticks),dphi (ticks),Load (lbs in),Pressure (psi),dL (in),dphi (rad),Load (Nm),Pressure (psi),dL/L_rest (%),dphi/L_rest (rad/in)
1,0,,-377,0.117933525,0,0,-1.895008689,0.01332469919,0,0,-0.5573554967
1,2.8,,-156,0.117933525,2.8,0,-0.7841415263,0.01332469919,2.8,0,-0.2306298607
1,4,,-28,0.117933525,4,0,-0.1407433509,0.01332469919,4,0,-0.0413951032
1,5.2,,104,0.117933525,5.2,0,0.5227610176,0.01332469919,5.2,0,0.1537532405
1,6.2,,238,0.117933525,6.2,0,1.196318482,0.01332469919,6.2,0,0.3518583772
1,7.5,,430,0.117933525,7.5,0,0.5403539364,0.01332469919,7.5,0,0.1589276284
1,8.5,,590,0.117933525,8.5,0,0.7414158662,0.01332469919,8.5,0,0.2180634901
1,10.3,,868,0.117933525,10.3,0,1.090760969,0.01332469919,10.3,0,0.3208120498
1,11.2,,1055,0.117933525,11.2,0,1.3257521,0.01332469919,11.2,0,0.3899270882
1,12,,1237,0.117933525,12,0,1.554460045,0.01332469919,12,0,0.4571941309
1,12.5,,1301,0.117933525,12.5,0,1.634884817,0.01332469919,12.5,0,0.4808484756
1,10,,904,0.117933525,10,0,1.135999904,0.01332469919,10,0,0.3341176187
1,11,,1089,0.117933525,11,0,1.36847776,0.01332469919,11,0,0.4024934588
1,8.6,,689,0.117933525,8.6,0,0.8658229353,0.01332469919,8.6,0,0.2546538045
1,10.3,,946,0.117933525,10.3,0,1.18877866,0.01332469919,10.3,0,0.3496407824
1,8,,590,0.117933525,8,0,0.7414158662,0.01332469919,8,0,0.2180634901
1,9,,712,0.117933525,9,0,0.8947255877,0.01332469919,9,0,0.2631545846
1,6.5,,379,0.117933525,6.5,0,0.4762654463,0.01332469919,6.5,0,0.1400780724
1,7.9,,544,0.117933525,7.9,0,0.6836105614,0.01332469919,7.9,0,0.2010619298
1,5.5,,218,0.117933525,5.5,0,0.2739468794,0.01332469919,5.5,0,0.08057261159
1,6.5,,325,0.117933525,6.5,0,0.408407045,0.01332469919,6.5,0,0.1201197191
1,4.4,,50,0.117933525,4.4,0,0.06283185307,0.01332469919,4.4,0,0.01847995679
1,5.7,,203,0.117933525,5.7,,0.2550973235,0.01332469919,5.7,,0.07502862455
1,3.5,,-60,0.117933525,3.5,,-0.07539822369,0.01332469919,3.5,,-0.02217594814
1,3.2,,-74,0.117933525,3.2,,-0.09299114255,0.01332469919,3.2,,-0.02735033604
1,0,,-406,0.117933525,0,,-0.5101946469,0.01332469919,0,,-0.1500572491
2,4.2,,-384,0.23586705,4.2,,-0.4825486316,0.02664939839,4.2,,-0.1419260681
2,5.2,,-294,0.23586705,5.2,,-0.3694512961,0.02664939839,5.2,,-0.1086621459
2,6.1,,-188,0.23586705,6.1,,-0.2362477675,0.02664939839,6.1,,-0.06948463751
2,7.7,,-2,0.23586705,7.7,,-0.002513274123,0.02664939839,7.7,,-0.0007391982714
2,8.6,,139,0.23586705,8.6,,0.1746725515,0.02664939839,8.6,,0.05137427986
2,10,,366,0.23586705,10,,0.4599291645,0.02664939839,10,,0.1352732837
2,11,,532,0.23586705,11,,0.6685309167,0.02664939839,11,,0.1966267402
2,12.2,,802,0.23586705,12.2,,1.007822923,0.02664939839,12.2,,0.2964185068
2,13.7,,1090,0.23586705,13.7,,1.369734397,0.02664939839,13.7,,0.4028630579
2,11,,655,0.23586705,11,,0.8230972752,0.02664939839,11,,0.2420874339
2,12.5,,914,0.23586705,12.5,,1.148566274,0.02664939839,12.5,,0.33781361
2,10.4,,524,0.23586705,10.4,,0.6584778202,0.02664939839,10.4,,0.1936699471
2,11.5,,686,0.23586705,11.5,,0.8620530241,0.02664939839,11.5,,0.2535450071
2,9,,280,0.23586705,9,,0.3518583772,0.02664939839,9,,0.103487758
2,10.3,,492,0.23586705,10.3,,0.6182654342,0.02664939839,10.3,,0.1818427748
2,8,,132,0.23586705,8,,0.1658760921,0.02664939839,8,,0.04878708591
2,8.5,,181,0.23586705,8.5,,0.2274513081,0.02664939839,8.5,,0.06689744356
2,6.5,,-86,0.23586705,6.5,,-0.1080707873,0.02664939839,6.5,,-0.03178552567
2,7.9,,72,0.23586705,7.9,,0.09047786842,0.02664939839,7.9,,0.02661113777
2,5,,-299,0.23586705,5,,-0.3757344814,0.02664939839,5,,-0.1105101416
2,6.2,,-172,0.23586705,6.2,,-0.2161415746,0.02664939839,6.2,,-0.06357105134
